Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
1576886400,2019-12-21,ETHEUR,115.99,116.15,114.3,114.83,5377.59,618343.93
1576800000,2019-12-20,ETHEUR,115.21,116.88,113.35,115.99,12441.63,1431530.93
1576713600,2019-12-19,ETHEUR,119.58,120.74,113.02,115.21,33557.17,3858975.03
1576627200,2019-12-18,ETHEUR,109.25,121.6,104.63,119.58,65385.75,7354218.02
1576540800,2019-12-17,ETHEUR,119.08,119.18,107.01,109.25,60123.86,6812712.48
1576454400,2019-12-16,ETHEUR,127.94,128.07,116.01,119.08,46560.82,5673159.63
1576368000,2019-12-15,ETHEUR,127.6,129.39,125.44,127.94,18042.47,2303518.93
1576281600,2019-12-14,ETHEUR,129.91,130.43,126.78,127.6,12512.81,1602567.39
1576195200,2019-12-13,ETHEUR,129.5,130.44,127.67,129.91,3439.76,443783.04
1576108800,2019-12-12,ETHEUR,128.84,130.88,126.21,129.5,13541.74,1744663.56
1576022400,2019-12-11,ETHEUR,131.25,131.99,127.47,128.84,27806.52,3597614.62
1575936000,2019-12-10,ETHEUR,133.21,133.78,129.73,131.25,25442.96,3353591.9
1575849600,2019-12-09,ETHEUR,136.4,136.85,131.63,133.21,26461.36,3543932.49
1575763200,2019-12-08,ETHEUR,133.35,137.43,132.54,136.4,12977.68,1757048.74
1575676800,2019-12-07,ETHEUR,134.62,135.33,132.94,133.35,10097.53,1355188.71
1575590400,2019-12-06,ETHEUR,133.16,137.58,131.52,134.62,32526.9,4357921.47
1575504000,2019-12-05,ETHEUR,131.41,134.24,129.14,133.16,27228.84,3598846.2
1575417600,2019-12-04,ETHEUR,133.08,137.5,128.9,131.41,50809.67,6731946.32
1575331200,2019-12-03,ETHEUR,134.6,135.63,131.67,133.08,15912.34,2128266.16
1575244800,2019-12-02,ETHEUR,137.06,137.65,132.73,134.6,31783.28,4280359.33
1575158400,2019-12-01,ETHEUR,138.09,138.6,132.89,137.06,18866.11,2559436.12
1575072000,2019-11-30,ETHEUR,140.17,140.9,135.16,138.09,27455.28,3793642.92
1574985600,2019-11-29,ETHEUR,137.43,143.46,137.05,140.17,65827.89,9245506.75
1574899200,2019-11-28,ETHEUR,139.08,140.9,135.62,137.43,43039.43,5962632.84
1574812800,2019-11-27,ETHEUR,134.31,141.74,128.27,139.08,74606.82,10154052.31
1574726400,2019-11-26,ETHEUR,132.84,136.24,130.8,134.31,28261.17,3760218.69
1574640000,2019-11-25,ETHEUR,127.18,138.96,120.04,132.84,139052.33,17879427.8
1574553600,2019-11-24,ETHEUR,138.19,139.19,125.6,127.18,46334.61,6124607.52
1574467200,2019-11-23,ETHEUR,136.28,140.55,133.35,138.19,31061.88,4259334.11
1574380800,2019-11-22,ETHEUR,145.61,147.11,125.22,136.28,131515.95,17876552.45
1574294400,2019-11-21,ETHEUR,157.38,158.58,141.12,145.61,81533.7,12101646.13
1574208000,2019-11-20,ETHEUR,158.76,161.6,156.44,157.38,25826.38,4104669.92
1574121600,2019-11-19,ETHEUR,160.89,161.2,155.6,158.76,24246.41,3835694.95
1574035200,2019-11-18,ETHEUR,166.43,166.43,157.65,160.89,35797.95,5827123.23
1573948800,2019-11-17,ETHEUR,165.14,168.49,163.11,166.43,18040.44,2995999.27
1573862400,2019-11-16,ETHEUR,162.75,165.97,162.23,165.14,7355.21,1211940.72
1573776000,2019-11-15,ETHEUR,167.47,169.36,160.72,162.75,31014.15,5097265.13
1573689600,2019-11-14,ETHEUR,170.43,171.09,166.15,167.47,30637.12,5149870.93
1573603200,2019-11-13,ETHEUR,169.81,172.27,168.13,170.43,22095.44,3761031.46
1573516800,2019-11-12,ETHEUR,167.39,170,165.43,169.81,28132.41,4742717.33
1573430400,2019-11-11,ETHEUR,171.55,172.49,166.62,167.39,20642,3486541.97
1573344000,2019-11-10,ETHEUR,167.88,173.9,166.59,171.55,22187.66,3793229.18
1573257600,2019-11-09,ETHEUR,166.9,168.92,166,167.88,7044.93,1179373.37
1573171200,2019-11-08,ETHEUR,168.83,170,164.17,166.9,27294.64,4547247.33
1573084800,2019-11-07,ETHEUR,172.82,173.73,166.87,168.83,28091.35,4743961.67
1572998400,2019-11-06,ETHEUR,170.31,175.46,169.9,172.82,27726.08,4788861.52
1572912000,2019-11-05,ETHEUR,167.15,173.87,164,170.31,27090.02,4584191.57
1572825600,2019-11-04,ETHEUR,162.99,170,161.69,167.15,21058.35,3505975.55
1572739200,2019-11-03,ETHEUR,164.04,165.76,160.45,162.99,10776.8,1752637.45
1572652800,2019-11-02,ETHEUR,164.35,166.7,163.14,164.04,8943.28,1470480.69
1572566400,2019-11-01,ETHEUR,163.74,165.6,159.13,164.35,18979.44,3087894.87
1572480000,2019-10-31,ETHEUR,164.48,166.32,159.3,163.74,36244.08,5913891.25
1572393600,2019-10-30,ETHEUR,172.06,173.14,162.24,164.48,39078.07,6486706.91
1572307200,2019-10-29,ETHEUR,163.93,173.99,163.86,172.06,53103.73,8988272.51
1572220800,2019-10-28,ETHEUR,165.91,171.38,162.91,163.93,25275.65,4187103.9
1572134400,2019-10-27,ETHEUR,162.17,170.13,159.38,165.91,41141.84,6833333.78
1572048000,2019-10-26,ETHEUR,163.85,178.8,156.57,162.17,72237.91,12015234.99
1571961600,2019-10-25,ETHEUR,144.89,169.32,144.83,163.85,73069.56,11714630.41
1571875200,2019-10-24,ETHEUR,146.09,147.8,142.76,144.89,27746.23,4028441.16
1571788800,2019-10-23,ETHEUR,154.06,154.06,137.12,146.09,77954.77,11322424.28
